"Name","Start","End","Duration","Process"
"Engram (G:)","7/12/2013 9:22:15 AM","7/12/2013 9:22:21 AM","0:00:06","Microsoft® Windows® Operating System"
"Cell_Summary_Meta","7/12/2013 9:22:21 AM","7/12/2013 9:22:26 AM","0:00:05","Microsoft® Windows® Operating System"
"JPEG","7/12/2013 9:22:26 AM","7/12/2013 9:22:34 AM","0:00:08","Microsoft® Windows® Operating System"
"Computer","7/12/2013 9:22:34 AM","7/12/2013 9:22:39 AM","0:00:05","Microsoft® Windows® Operating System"
"Tetrode_DATA","7/12/2013 9:22:39 AM","7/12/2013 9:22:44 AM","0:00:05","Microsoft® Windows® Operating System"
"Neurophysiology","7/12/2013 9:22:44 AM","7/12/2013 9:22:53 AM","0:00:09","Microsoft® Windows® Operating System"
"JPEG","7/12/2013 9:22:53 AM","7/12/2013 9:22:58 AM","0:00:05","Microsoft® Windows® Operating System"
"Felsen_R01_Aims - Word","7/12/2013 9:22:58 AM","7/12/2013 9:23:03 AM","0:00:05","Microsoft Office 2013"
"Lead_1","7/12/2013 9:23:03 AM","7/12/2013 9:23:18 AM","0:00:15","MATLAB"
"Dates of Import - OneNote","7/12/2013 9:23:18 AM","7/12/2013 9:23:28 AM","0:00:10","Microsoft OneNote"
"Neuroethology Class - OneNote","7/12/2013 9:23:28 AM","7/12/2013 9:23:33 AM","0:00:05","Microsoft OneNote"
"PPTg/SC Recordings - OneNote","7/12/2013 9:23:33 AM","7/12/2013 9:25:12 AM","0:01:39","Microsoft OneNote"
"Halorodopsin Stimulation - OneNote","7/12/2013 9:25:12 AM","7/12/2013 9:25:36 AM","0:00:24","Microsoft OneNote"
"Halorodopsin Stimulation ( - OneNote","7/12/2013 9:25:36 AM","7/12/2013 9:25:41 AM","0:00:05","Microsoft OneNote"
"Halorodopsin Stimulation (DFN) - OneNote","7/12/2013 9:25:41 AM","7/12/2013 9:25:46 AM","0:00:05","Microsoft OneNote"
"PPTg/SC Recordings - OneNote","7/12/2013 9:25:46 AM","7/12/2013 9:27:07 AM","0:01:21","Microsoft OneNote"
"PPTg Stimulation and Recording - OneNote","7/12/2013 9:27:07 AM","7/12/2013 9:29:42 AM","0:02:35","Microsoft OneNote"
"PPTg/SC Recordings - OneNote","7/12/2013 9:29:42 AM","7/12/2013 9:29:58 AM","0:00:16","Microsoft OneNote"
"Microsoft OneNote","7/12/2013 9:29:58 AM","7/12/2013 9:30:04 AM","0:00:06","Microsoft OneNote"
"PPTg Stimulation and Recording - OneNote","7/12/2013 9:30:04 AM","7/12/2013 9:32:19 AM","0:02:15","Microsoft OneNote"
"Brain Histology - OneNote","7/12/2013 9:32:19 AM","7/12/2013 9:33:04 AM","0:00:45","Microsoft OneNote"
"PPTg  - OneNote","7/12/2013 9:33:04 AM","7/12/2013 9:33:10 AM","0:00:06","Microsoft OneNote"
"PPTg & SC Tracing Experiment - OneNote","7/12/2013 9:33:10 AM","7/12/2013 9:35:03 AM","0:01:53","Microsoft OneNote"
"Lead_2","7/12/2013 9:35:03 AM","7/12/2013 9:35:14 AM","0:00:11","MATLAB"
"Inbox - JOHN.A.THOMPSON@UCDENVER.EDU - Outlook","7/12/2013 9:35:14 AM","7/12/2013 9:35:19 AM","0:00:05","Microsoft Outlook"
"Inbox - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/12/2013 9:35:19 AM","7/12/2013 9:35:41 AM","0:00:22","Google Chrome"
"USPS Shipment Info for 9400110200830880251482 - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/12/2013 9:35:41 AM","7/12/2013 9:35:49 AM","0:00:08","Google Chrome"
"In Isolation - Hope For The Dying - My Library - Google Play - Google Chrome","7/12/2013 9:35:49 AM","7/12/2013 9:35:54 AM","0:00:05","Google Chrome"
"Lead_2","7/12/2013 9:35:54 AM","7/12/2013 9:38:39 AM","0:02:45","MATLAB"
"Editor","7/12/2013 9:38:39 AM","7/12/2013 9:39:35 AM","0:00:56","MATLAB"
"MATLAB R2013a","7/12/2013 9:39:35 AM","7/12/2013 9:39:46 AM","0:00:11","MATLAB"
"Engram (G:)","7/12/2013 9:39:46 AM","7/12/2013 9:39:51 AM","0:00:05","Microsoft® Windows® Operating System"
"Days of Recording","7/12/2013 9:39:51 AM","7/12/2013 9:39:56 AM","0:00:05","Microsoft® Windows® Operating System"
"Neurophysiology","7/12/2013 9:39:56 AM","7/12/2013 9:40:09 AM","0:00:13","Microsoft® Windows® Operating System"
"130123","7/12/2013 9:40:09 AM","7/12/2013 9:40:26 AM","0:00:17","Microsoft® Windows® Operating System"
"Neurophysiology","7/12/2013 9:40:26 AM","7/12/2013 9:40:34 AM","0:00:08","Microsoft® Windows® Operating System"
"130123","7/12/2013 9:40:34 AM","7/12/2013 9:40:45 AM","0:00:11","Microsoft® Windows® Operating System"
"Microsoft® Windows® Operating System","7/12/2013 9:40:45 AM","7/12/2013 9:41:10 AM","0:00:25","Microsoft® Windows® Operating System"
"ManicTime - TRIAL","7/12/2013 9:41:10 AM","7/12/2013 9:41:48 AM","0:00:38","ManicTime"
"Lead_3","7/12/2013 9:41:48 AM","7/12/2013 9:41:55 AM","0:00:07","MATLAB"
"Editor","7/12/2013 9:41:55 AM","7/12/2013 9:42:14 AM","0:00:19","MATLAB"
"MATLAB R2013a","7/12/2013 9:42:14 AM","7/12/2013 9:42:36 AM","0:00:22","MATLAB"
"Editor","7/12/2013 9:42:36 AM","7/12/2013 9:45:44 AM","0:03:08","MATLAB"
"Lead_3","7/12/2013 9:45:44 AM","7/12/2013 9:45:59 AM","0:00:15","MATLAB"
"Editor","7/12/2013 9:45:59 AM","7/12/2013 9:46:12 AM","0:00:13","MATLAB"
"Dates of Import - OneNote","7/12/2013 9:46:12 AM","7/12/2013 9:46:19 AM","0:00:07","Microsoft OneNote"
"Neuroethology Class - OneNote","7/12/2013 9:46:19 AM","7/12/2013 9:47:32 AM","0:01:13","Microsoft OneNote"
"Document1 - Word","7/12/2013 9:47:32 AM","7/12/2013 9:52:18 AM","0:04:46","Microsoft Office 2013"
"Lead_4","7/12/2013 9:52:18 AM","7/12/2013 9:57:47 AM","0:05:29","MATLAB"
"Gidon - My Outlook Data File(1) - Outlook","7/12/2013 9:57:47 AM","7/12/2013 9:57:55 AM","0:00:08","Microsoft Outlook"
"Lead_4","7/12/2013 9:57:55 AM","7/12/2013 9:58:01 AM","0:00:06","MATLAB"
"Tetrode Information - Google Chrome","7/12/2013 9:58:01 AM","7/12/2013 9:58:10 AM","0:00:09","Google Chrome"
"R-bloggers | R news & tutorials from the web - Google Chrome","7/12/2013 9:58:10 AM","7/12/2013 9:58:24 AM","0:00:14","Google Chrome"
"Ars Technica - Google Chrome","7/12/2013 9:58:24 AM","7/12/2013 9:59:00 AM","0:00:36","Google Chrome"
"Teen jailed for alleged “terroristic threats” on Facebook now free on bail | Ars Technica - Google Chrome","7/12/2013 9:59:00 AM","7/12/2013 9:59:55 AM","0:00:55","Google Chrome"
"Neuroethology Class - OneNote","7/12/2013 9:59:55 AM","7/12/2013 10:00:04 AM","0:00:09","Microsoft OneNote"
"Editor","7/12/2013 10:00:04 AM","7/12/2013 10:00:22 AM","0:00:18","MATLAB"
"MATLAB R2013a","7/12/2013 10:00:22 AM","7/12/2013 10:00:39 AM","0:00:17","MATLAB"
"Editor","7/12/2013 10:00:39 AM","7/12/2013 10:00:53 AM","0:00:14","MATLAB"
"MATLAB R2013a","7/12/2013 10:00:53 AM","7/12/2013 10:01:15 AM","0:00:22","MATLAB"
"Lead_1","7/12/2013 10:01:15 AM","7/12/2013 10:01:23 AM","0:00:08","MATLAB"
"Editor","7/12/2013 10:01:23 AM","7/12/2013 10:01:37 AM","0:00:14","MATLAB"
"MATLAB R2013a","7/12/2013 10:01:37 AM","7/12/2013 10:01:53 AM","0:00:16","MATLAB"
"Progress","7/12/2013 10:01:53 AM","7/12/2013 10:02:00 AM","0:00:07","MATLAB"
"MATLAB R2013a","7/12/2013 10:02:00 AM","7/12/2013 10:02:07 AM","0:00:07","MATLAB"
"Editor","7/12/2013 10:02:07 AM","7/12/2013 10:02:19 AM","0:00:12","MATLAB"
"MATLAB R2013a","7/12/2013 10:02:19 AM","7/12/2013 10:03:28 AM","0:01:09","MATLAB"
"Editor","7/12/2013 10:03:28 AM","7/12/2013 10:07:42 AM","0:04:14","MATLAB"
"MATLAB R2013a","7/12/2013 10:07:42 AM","7/12/2013 10:08:16 AM","0:00:34","MATLAB"
"Editor","7/12/2013 10:08:16 AM","7/12/2013 10:09:13 AM","0:00:57","MATLAB"
"MATLAB R2013a","7/12/2013 10:09:13 AM","7/12/2013 10:09:43 AM","0:00:30","MATLAB"
"Editor","7/12/2013 10:09:43 AM","7/12/2013 10:10:18 AM","0:00:35","MATLAB"
"MATLAB R2013a","7/12/2013 10:10:18 AM","7/12/2013 10:10:42 AM","0:00:24","MATLAB"
"Editor","7/12/2013 10:10:42 AM","7/12/2013 10:16:19 AM","0:05:37","MATLAB"
"MATLAB R2013a","7/12/2013 10:16:19 AM","7/12/2013 10:16:43 AM","0:00:24","MATLAB"
"Editor","7/12/2013 10:16:43 AM","7/12/2013 10:17:53 AM","0:01:10","MATLAB"
"MATLAB R2013a","7/12/2013 10:17:53 AM","7/12/2013 10:18:26 AM","0:00:33","MATLAB"
"Editor","7/12/2013 10:18:26 AM","7/12/2013 10:18:36 AM","0:00:10","MATLAB"
"MATLAB R2013a","7/12/2013 10:18:36 AM","7/12/2013 10:19:06 AM","0:00:30","MATLAB"
"Editor","7/12/2013 10:19:06 AM","7/12/2013 10:20:00 AM","0:00:54","MATLAB"
"Progress","7/12/2013 10:20:00 AM","7/12/2013 10:20:32 AM","0:00:32","MATLAB"
"ManicTime - TRIAL","7/12/2013 10:20:32 AM","7/12/2013 10:20:39 AM","0:00:07","ManicTime"
"Hope For The Dying - Aletheia - My Library - Google Play - Google Chrome","7/12/2013 10:20:39 AM","7/12/2013 10:20:45 AM","0:00:06","Google Chrome"
"New tab - Google Chrome","7/12/2013 10:20:45 AM","7/12/2013 10:20:54 AM","0:00:09","Google Chrome"
"New tab - Google Chrome","7/12/2013 10:20:54 AM","7/12/2013 10:21:03 AM","0:00:09","Google Chrome"
"Undocumented Matlab - Google Chrome","7/12/2013 10:21:03 AM","7/12/2013 10:21:50 AM","0:00:47","Google Chrome"
"New tab - Google Chrome","7/12/2013 10:21:50 AM","7/12/2013 10:22:01 AM","0:00:11","Google Chrome"
"objectivelens - Journal - Google Chrome","7/12/2013 10:22:01 AM","7/12/2013 10:22:14 AM","0:00:13","Google Chrome"
"objectivelens - Journal - How to make a bubble chart in Matlab - Google Chrome","7/12/2013 10:22:14 AM","7/12/2013 10:22:24 AM","0:00:10","Google Chrome"
"objectivelens - Journal - How to make a bubble chart in Matlab - Google Chrome","7/12/2013 10:22:24 AM","7/12/2013 10:23:05 AM","0:00:41","Google Chrome"
"objectivelens - Journal - Google Chrome","7/12/2013 10:23:05 AM","7/12/2013 10:23:18 AM","0:00:13","Google Chrome"
"objectivelens - Journal - Machinations of Murine Minds - Google Chrome","7/12/2013 10:23:18 AM","7/12/2013 10:23:26 AM","0:00:08","Google Chrome"
"objectivelens - Journal - Fabricating fantastical data visualizations - Google Chrome","7/12/2013 10:23:26 AM","7/12/2013 10:23:45 AM","0:00:19","Google Chrome"
"New tab - Google Chrome","7/12/2013 10:23:45 AM","7/12/2013 10:23:51 AM","0:00:06","Google Chrome"
"New tab - Google Chrome","7/12/2013 10:23:51 AM","7/12/2013 10:24:00 AM","0:00:09","Google Chrome"
"what are responses in the squarespace - Google Search - Google Chrome","7/12/2013 10:24:00 AM","7/12/2013 10:24:17 AM","0:00:17","Google Chrome"
"objectivelens - Programming Resources - Google Chrome","7/12/2013 10:24:17 AM","7/12/2013 10:24:26 AM","0:00:09","Google Chrome"
"Untitled - Google Chrome","7/12/2013 10:24:26 AM","7/12/2013 10:24:31 AM","0:00:05","Google Chrome"
"European Journal of Neuroscience - Wiley Online Library - Google Chrome","7/12/2013 10:24:31 AM","7/12/2013 10:24:39 AM","0:00:08","Google Chrome"
"European Journal of Neuroscience - Volume 38, Issue 1 - July 2013 - Wiley Online Library - Google Chrome","7/12/2013 10:24:39 AM","7/12/2013 10:25:38 AM","0:00:59","Google Chrome"
"Cellular and molecular mechanisms controlling the migration of neocortical interneurons - Marín - 2013 - European Journal of Neuroscience - Wiley Online Library - Google Chrome","7/12/2013 10:25:38 AM","7/12/2013 10:25:48 AM","0:00:10","Google Chrome"
"Cellular and molecular mechanisms controlling the migration of neocortical interneurons - Marín - 2013 - European Journal of Neuroscience - Wiley Online Library - Google Chrome","7/12/2013 10:25:48 AM","7/12/2013 10:27:07 AM","0:01:19","Google Chrome"
"European Journal of Neuroscience - Wiley Online Library - Google Chrome","7/12/2013 10:27:07 AM","7/12/2013 10:27:13 AM","0:00:06","Google Chrome"
"European Journal of Neuroscience - Volume 38, Issue 1 - July 2013 - Wiley Online Library - Google Chrome","7/12/2013 10:27:13 AM","7/12/2013 10:29:36 AM","0:02:23","Google Chrome"
"Fluoxetine and serotonin facilitate attractive-adaptation-induced orientation plasticity in adult cat visual cortex - Bachatene - 2013 - European Journal of Neuroscience - Wiley Online Library - Google Chrome","7/12/2013 10:29:36 AM","7/12/2013 10:30:29 AM","0:00:53","Google Chrome"
"Cloudera Follow Up - Message (Plain Text) ","7/12/2013 10:30:29 AM","7/12/2013 10:30:39 AM","0:00:10","Microsoft Outlook"
"Inbox - JOHN.A.THOMPSON@UCDENVER.EDU - Outlook","7/12/2013 10:30:39 AM","7/12/2013 10:32:15 AM","0:01:36","Microsoft Outlook"
"MATLAB R2013a","7/12/2013 10:32:15 AM","7/12/2013 10:32:49 AM","0:00:34","MATLAB"
"Fluoxetine and serotonin facilitate attractive-adaptation-induced orientation plasticity in adult cat visual cortex - Bachatene - 2013 - European Journal of Neuroscience - Wiley Online Library - Google Chrome","7/12/2013 10:32:49 AM","7/12/2013 10:32:59 AM","0:00:10","Google Chrome"
"European Journal of Neuroscience - Volume 38, Issue 1 - July 2013 - Wiley Online Library - Google Chrome","7/12/2013 10:32:59 AM","7/12/2013 10:33:10 AM","0:00:11","Google Chrome"
"Home : Nature Neuroscience - Google Chrome","7/12/2013 10:33:10 AM","7/12/2013 10:33:21 AM","0:00:11","Google Chrome"
"Table of contents : Nature Neuroscience - Google Chrome","7/12/2013 10:33:21 AM","7/12/2013 10:33:42 AM","0:00:21","Google Chrome"
"www.nature.com/neuro/journal/v16/n7/pdf/nn.3427.pdf - Google Chrome","7/12/2013 10:33:42 AM","7/12/2013 10:35:06 AM","0:01:24","Google Chrome"
"Table of contents : Nature Neuroscience - Google Chrome","7/12/2013 10:35:06 AM","7/12/2013 10:35:22 AM","0:00:16","Google Chrome"
"www.nature.com/neuro/journal/v16/n7/pdf/nn.3424.pdf - Google Chrome","7/12/2013 10:35:22 AM","7/12/2013 10:36:27 AM","0:01:05","Google Chrome"
"www.nature.com/neuro/journal/v16/n7/pdf/nn.3410.pdf - Google Chrome","7/12/2013 10:36:27 AM","7/12/2013 10:37:13 AM","0:00:46","Google Chrome"
"Brain Explorer 2 - Google Search - Google Chrome","7/12/2013 10:37:13 AM","7/12/2013 10:37:22 AM","0:00:09","Google Chrome"
"Neural Connections: Allen Brain Atlas: Brain Explorer 2! - Google Chrome","7/12/2013 10:37:22 AM","7/12/2013 10:37:41 AM","0:00:19","Google Chrome"
"Brain Explorer :: Allen Brain Atlas: Mouse Connectivity - Google Chrome","7/12/2013 10:37:41 AM","7/12/2013 10:38:02 AM","0:00:21","Google Chrome"
"www.nature.com/neuro/journal/v16/n7/pdf/nn.3410.pdf - Google Chrome","7/12/2013 10:38:02 AM","7/12/2013 10:38:52 AM","0:00:50","Google Chrome"
"Save As","7/12/2013 10:38:52 AM","7/12/2013 10:39:14 AM","0:00:22","Adobe Reader"
"www.nature.com/neuro/journal/v16/n7/pdf/nn.3424.pdf - Google Chrome","7/12/2013 10:39:14 AM","7/12/2013 10:39:20 AM","0:00:06","Google Chrome"
"Brain Explorer 2 Setup","7/12/2013 10:39:20 AM","7/12/2013 10:39:29 AM","0:00:09","Windows Installer - Unicode"
"Table of contents : Nature Neuroscience - Google Chrome","7/12/2013 10:39:29 AM","7/12/2013 10:40:19 AM","0:00:50","Google Chrome"
"Home : Nature Neuroscience - Google Chrome","7/12/2013 10:40:19 AM","7/12/2013 10:40:29 AM","0:00:10","Google Chrome"
"Microsoft Windows","7/12/2013 10:40:29 AM","7/12/2013 10:40:35 AM","0:00:06","Microsoft® Windows® Operating System"
"Check Disk 2012 Science (E:)","7/12/2013 10:40:35 AM","7/12/2013 10:41:04 AM","0:00:29","Microsoft® Windows® Operating System"
"Checking Disk 2012 Science (E:)","7/12/2013 10:41:04 AM","7/12/2013 10:42:12 AM","0:01:08","Microsoft® Windows® Operating System"
"AutoPlay","7/12/2013 10:42:12 AM","7/12/2013 10:42:23 AM","0:00:11","Microsoft® Windows® Operating System"
"Microsoft Outlook","7/12/2013 10:42:23 AM","7/12/2013 10:42:31 AM","0:00:08","Microsoft Outlook"
"AutoPlay","7/12/2013 10:42:31 AM","7/12/2013 10:42:37 AM","0:00:06","Microsoft® Windows® Operating System"
"Start menu","7/12/2013 10:42:37 AM","7/12/2013 10:42:42 AM","0:00:05","Microsoft® Windows® Operating System"
"Install Atlas","7/12/2013 10:42:42 AM","7/12/2013 10:43:01 AM","0:00:19","Brain Explorer 2"
"MATLAB R2013a","7/12/2013 10:43:01 AM","7/12/2013 10:43:17 AM","0:00:16","MATLAB"
"Sensory cortex limits cortical maps and drives top-down plasticity in thalamocortical circuits : Nature Neuroscience : Nature Publishing Group - Google Chrome","7/12/2013 10:43:17 AM","7/12/2013 10:43:56 AM","0:00:39","Google Chrome"
"Home : Nature Neuroscience - Google Chrome","7/12/2013 10:43:56 AM","7/12/2013 10:44:02 AM","0:00:06","Google Chrome"
"GluN2B in corticostriatal circuits governs choice learning and choice shifting : Nature Neuroscience : Nature Publishing Group - Google Chrome","7/12/2013 10:44:02 AM","7/12/2013 10:45:09 AM","0:01:07","Google Chrome"
"Progress","7/12/2013 10:45:09 AM","7/12/2013 10:45:20 AM","0:00:11","MATLAB"
"Libraries","7/12/2013 10:45:20 AM","7/12/2013 10:45:25 AM","0:00:05","Microsoft® Windows® Operating System"
"Engram (G:)","7/12/2013 10:45:25 AM","7/12/2013 10:45:31 AM","0:00:06","Microsoft® Windows® Operating System"
"Days of Recording","7/12/2013 10:45:31 AM","7/12/2013 10:47:57 AM","0:02:26","Microsoft® Windows® Operating System"
"Inbox - JOHN.A.THOMPSON@UCDENVER.EDU - Outlook","7/12/2013 10:47:57 AM","7/12/2013 10:51:14 AM","0:03:17","Microsoft Outlook"
"Days of Recording","7/12/2013 10:51:14 AM","7/12/2013 10:51:23 AM","0:00:09","Microsoft® Windows® Operating System"
"Neuron_Activity_Info_Database","7/12/2013 10:51:23 AM","7/12/2013 10:51:33 AM","0:00:10","Microsoft® Windows® Operating System"
"Neurophysiology","7/12/2013 10:51:33 AM","7/12/2013 10:51:42 AM","0:00:09","Microsoft® Windows® Operating System"
"Days of Recording","7/12/2013 10:51:42 AM","7/12/2013 10:51:48 AM","0:00:06","Microsoft® Windows® Operating System"
"Progress","7/12/2013 10:51:48 AM","7/12/2013 10:51:57 AM","0:00:09","MATLAB"
"Inbox - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/12/2013 10:51:57 AM","7/12/2013 10:52:02 AM","0:00:05","Google Chrome"
"Home : Nature Neuroscience - Google Chrome","7/12/2013 10:52:02 AM","7/12/2013 10:52:20 AM","0:00:18","Google Chrome"
"Neuron - Google Chrome","7/12/2013 10:52:20 AM","7/12/2013 10:52:30 AM","0:00:10","Google Chrome"
"Neuron - Table of Contents - Volume 79 Issue 1, 10 July 2013 - Google Chrome","7/12/2013 10:52:30 AM","7/12/2013 10:52:59 AM","0:00:29","Google Chrome"
"Redirection page - Google Chrome","7/12/2013 10:52:59 AM","7/12/2013 10:53:04 AM","0:00:05","Google Chrome"
"Redirection page - Google Chrome","7/12/2013 10:53:04 AM","7/12/2013 10:54:50 AM","0:01:46","Google Chrome"
"Neuron - Google Chrome","7/12/2013 10:54:50 AM","7/12/2013 10:55:00 AM","0:00:10","Google Chrome"
"Neuron - Table of Contents - Volume 79 Issue 1, 10 July 2013 - Google Chrome","7/12/2013 10:55:00 AM","7/12/2013 10:56:11 AM","0:01:11","Google Chrome"
"Neuron - On the Training of Future Neuroscientists: Insights from the Grass Laboratory - Google Chrome","7/12/2013 10:56:11 AM","7/12/2013 10:57:53 AM","0:01:42","Google Chrome"
"Neuron - Table of Contents - Volume 79 Issue 1, 10 July 2013 - Google Chrome","7/12/2013 10:57:53 AM","7/12/2013 10:58:15 AM","0:00:22","Google Chrome"
"Adobe Acrobat Pro","7/12/2013 10:58:15 AM","7/12/2013 10:58:23 AM","0:00:08","Adobe Acrobat"
"Save As","7/12/2013 10:58:23 AM","7/12/2013 10:58:28 AM","0:00:05","Google Chrome"
"Neuron - Table of Contents - Volume 79 Issue 1, 10 July 2013 - Google Chrome","7/12/2013 10:58:28 AM","7/12/2013 10:58:41 AM","0:00:13","Google Chrome"
"ScienceDirect.com - Neuroscience & Biobehavioral Reviews - The basal ganglia: An overview of circuits and function - Opera","7/12/2013 10:58:41 AM","7/12/2013 10:58:47 AM","0:00:06","Opera Internet Browser"
"Start menu","7/12/2013 10:58:47 AM","7/12/2013 10:58:56 AM","0:00:09","Microsoft® Windows® Operating System"
"Neuron - Table of Contents - Volume 79 Issue 1, 10 July 2013 - Opera","7/12/2013 10:58:56 AM","7/12/2013 10:59:04 AM","0:00:08","Opera Internet Browser"
"http://ac.els-cdn.com/S0896627313003681/1-s2.0-S0896627313003681-main.pdf?_tid=61d173f2-eb14-11e2-8cf0-00000aab0f27&acdnat=1... - Opera","7/12/2013 10:59:04 AM","7/12/2013 10:59:21 AM","0:00:17","Opera Internet Browser"
"Progress","7/12/2013 10:59:21 AM","7/12/2013 10:59:26 AM","0:00:05","MATLAB"
"Brain Explorer® 2","7/12/2013 10:59:26 AM","7/12/2013 10:59:31 AM","0:00:05","Brain Explorer 2"
"Progress","7/12/2013 10:59:31 AM","7/12/2013 10:59:49 AM","0:00:18","MATLAB"
"ManicTime - TRIAL","7/12/2013 10:59:49 AM","7/12/2013 11:00:09 AM","0:00:20","ManicTime"
"Progress","7/12/2013 11:00:09 AM","7/12/2013 11:00:16 AM","0:00:07","MATLAB"
"MATLAB R2013a","7/12/2013 11:00:16 AM","7/12/2013 11:00:24 AM","0:00:08","MATLAB"
"www.nature.com/neuro/journal/v16/n7/pdf/nn.3424.pdf - Google Chrome","7/12/2013 11:00:24 AM","7/12/2013 11:00:33 AM","0:00:09","Google Chrome"
"Neural Connections: Allen Brain Atlas: Brain Explorer 2! - Google Chrome","7/12/2013 11:00:33 AM","7/12/2013 11:01:19 AM","0:00:46","Google Chrome"
"Neural Connections - Google Chrome","7/12/2013 11:01:19 AM","7/12/2013 11:02:32 AM","0:01:13","Google Chrome"
"Program Manager","7/12/2013 11:02:32 AM","7/12/2013 11:02:47 AM","0:00:15","Microsoft® Windows® Operating System"
"Inbox - JOHN.A.THOMPSON@UCDENVER.EDU - Outlook","7/12/2013 11:02:47 AM","7/12/2013 11:02:53 AM","0:00:06","Microsoft Outlook"
"Progress","7/12/2013 11:02:53 AM","7/12/2013 11:03:21 AM","0:00:28","MATLAB"
"Brain Explorer :: Allen Brain Atlas: Mouse Connectivity - Google Chrome","7/12/2013 11:03:21 AM","7/12/2013 11:03:26 AM","0:00:05","Google Chrome"
"FlowingData | Data Visualization, Infographics, and Statistics - Google Chrome","7/12/2013 11:03:26 AM","7/12/2013 11:03:39 AM","0:00:13","Google Chrome"
"Getting started with visualization after getting started with visualization - Google Chrome","7/12/2013 11:03:39 AM","7/12/2013 11:03:45 AM","0:00:06","Google Chrome"
"D3.js - Data-Driven Documents - Google Chrome","7/12/2013 11:03:45 AM","7/12/2013 11:04:30 AM","0:00:45","Google Chrome"
"Tutorials · mbostock/d3 Wiki - Google Chrome","7/12/2013 11:04:30 AM","7/12/2013 11:04:35 AM","0:00:05","Google Chrome"
"D3.js - Data-Driven Documents - Google Chrome","7/12/2013 11:04:35 AM","7/12/2013 11:04:43 AM","0:00:08","Google Chrome"
"d3.js ~ Three Little Circles - Google Chrome","7/12/2013 11:04:43 AM","7/12/2013 11:06:47 AM","0:02:04","Google Chrome"
"view-source:mbostock.github.io/d3/tutorial/circle.html - Google Chrome","7/12/2013 11:06:47 AM","7/12/2013 11:08:38 AM","0:01:51","Google Chrome"
"d3.js ~ Three Little Circles - Google Chrome","7/12/2013 11:08:38 AM","7/12/2013 11:08:46 AM","0:00:08","Google Chrome"
"Inbox - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/12/2013 11:08:46 AM","7/12/2013 11:08:52 AM","0:00:06","Google Chrome"
"Start menu","7/12/2013 11:08:52 AM","7/12/2013 11:08:58 AM","0:00:06","Microsoft® Windows® Operating System"
"Windows Task Manager","7/12/2013 11:08:58 AM","7/12/2013 11:09:08 AM","0:00:10","Windows Task Manager"
"Start menu","7/12/2013 11:09:08 AM","7/12/2013 11:09:14 AM","0:00:06","Microsoft® Windows® Operating System"
"Allen Mouse Brain Atlas - Brain Explorer® 2","7/12/2013 11:09:14 AM","7/12/2013 11:11:14 AM","0:02:00","Brain Explorer 2"
"Progress","7/12/2013 11:11:14 AM","7/12/2013 11:11:44 AM","0:00:30","MATLAB"
"ManicTime - TRIAL","7/12/2013 11:11:44 AM","7/12/2013 11:11:49 AM","0:00:05","ManicTime"
"Allen Mouse Brain Atlas - Brain Explorer® 2","7/12/2013 11:11:49 AM","7/12/2013 11:14:26 AM","0:02:37","Brain Explorer 2"
"Untitled-1 @ 66.7% (Layer 1, RGB/8)","7/12/2013 11:14:26 AM","7/12/2013 11:14:32 AM","0:00:06","Adobe Photoshop CS5.1"
"Untitled-1 @ 66.7% (Layer 1, RGB/8) *","7/12/2013 11:14:32 AM","7/12/2013 11:14:41 AM","0:00:09","Adobe Photoshop CS5.1"
"Save As","7/12/2013 11:14:41 AM","7/12/2013 11:15:01 AM","0:00:20","Adobe Photoshop CS5.1"
"Untitled-1 @ 66.7% (Layer 1, RGB/8) *","7/12/2013 11:15:01 AM","7/12/2013 11:15:07 AM","0:00:06","Adobe Photoshop CS5.1"
"Progress","7/12/2013 11:15:07 AM","7/12/2013 11:15:20 AM","0:00:13","MATLAB"
"Untitled - Message (HTML) ","7/12/2013 11:15:20 AM","7/12/2013 11:15:38 AM","0:00:18","Microsoft Outlook"
"look at what you can do with the allen brain brain explorer 2 - Message (HTML) ","7/12/2013 11:15:38 AM","7/12/2013 11:15:49 AM","0:00:11","Microsoft Outlook"
"Insert File","7/12/2013 11:15:49 AM","7/12/2013 11:15:57 AM","0:00:08","Microsoft Outlook"
"Program Manager","7/12/2013 11:15:57 AM","7/12/2013 11:16:04 AM","0:00:07","Microsoft® Windows® Operating System"
"objectivelens - Journal ETOCs - Google Chrome","7/12/2013 11:16:04 AM","7/12/2013 11:16:17 AM","0:00:13","Google Chrome"
"Journal of Comparative Neurology - Wiley Online Library - Google Chrome","7/12/2013 11:16:17 AM","7/12/2013 11:16:32 AM","0:00:15","Google Chrome"
"An important landmark in scientific publishing - Karten - 2013 - Journal of Comparative Neurology - Wiley Online Library - Google Chrome","7/12/2013 11:16:32 AM","7/12/2013 11:16:47 AM","0:00:15","Google Chrome"
"An important landmark in scientific publishing - Karten - 2013 - Journal of Comparative Neurology - Wiley Online Library - Google Chrome","7/12/2013 11:16:47 AM","7/12/2013 11:18:30 AM","0:01:43","Google Chrome"
